Executing windows.dlllist...
Volatility 3 Framework 2.7.0

PID	Process	Base	Size	Name	Path	LoadTime	File output
344	wininit.exe	0x75c60000	0x4b000	KERNELBASE.dll	C:\Windows\system32\KERNELBASE.dll	2022-11-15 05:25:18.000000 	Disabled
344	wininit.exe	0x76650000	0xc9000	USER32.dll	C:\Windows\system32\USER32.dll	2022-11-15 05:25:18.000000 	Disabled
344	wininit.exe	0x761f0000	0x4e000	GDI32.dll	C:\Windows\system32\GDI32.dll	2022-11-15 05:25:18.000000 	Disabled
344	wininit.exe	0x77ab0000	0xa000	LPK.dll	C:\Windows\system32\LPK.dll	2022-11-15 05:25:18.000000 	Disabled
344	wininit.exe	0x76720000	0x9d000	USP10.dll	C:\Windows\system32\USP10.dll	2022-11-15 05:25:18.000000 	Disabled
344	wininit.exe	0x76140000	0xac000	msvcrt.dll	C:\Windows\system32\msvcrt.dll	2022-11-15 05:25:18.000000 	Disabled
344	wininit.exe	0x77ac0000	0xa2000	RPCRT4.dll	C:\Windows\system32\RPCRT4.dll	2022-11-15 05:25:18.000000 	Disabled
344	wininit.exe	0x76a10000	0x19000	sechost.dll	C:\Windows\SYSTEM32\sechost.dll	2022-11-15 05:25:18.000000 	Disabled
344	wininit.exe	0x75990000	0xb000	profapi.dll	C:\Windows\system32\profapi.dll	2022-11-15 05:25:18.000000 	Disabled
344	wininit.exe	0x76a30000	0x1f000	IMM32.DLL	C:\Windows\system32\IMM32.DLL	2022-11-15 05:25:18.000000 	Disabled
344	wininit.exe	0x75fe0000	0xce000	MSCTF.dll	C:\Windows\system32\MSCTF.dll	2022-11-15 05:25:18.000000 	Disabled
344	wininit.exe	0x75910000	0xe000	RpcRtRemote.dll	C:\Windows\system32\RpcRtRemote.dll	2022-11-15 05:25:18.000000 	Disabled
344	wininit.exe	0x75890000	0x4c000	apphelp.dll	C:\Windows\system32\apphelp.dll	2022-11-15 05:25:18.000000 	Disabled
344	wininit.exe	0x75820000	0xc000	CRYPTBASE.dll	C:\Windows\system32\CRYPTBASE.dll	2022-11-15 05:25:18.000000 	Disabled
344	wininit.exe	0x75fa0000	0x35000	WS2_32.dll	C:\Windows\system32\WS2_32.dll	2022-11-14 20:25:20.000000 	Disabled
344	wininit.exe	0x767c0000	0x6000	NSI.dll	C:\Windows\system32\NSI.dll	2022-11-14 20:25:20.000000 	Disabled
344	wininit.exe	0x75300000	0x3c000	mswsock.dll	C:\Windows\system32\mswsock.dll	2022-11-14 20:25:20.000000 	Disabled
344	wininit.exe	0x74e60000	0x5000	wshtcpip.dll	C:\Windows\System32\wshtcpip.dll	2022-11-14 20:25:20.000000 	Disabled
344	wininit.exe	0x752f0000	0x6000	wship6.dll	C:\Windows\System32\wship6.dll	2022-11-14 20:25:20.000000 	Disabled
344	wininit.exe	0x757c0000	0x8000	secur32.dll	C:\Windows\system32\secur32.dll	2022-11-14 20:25:20.000000 	Disabled
344	wininit.exe	0x757e0000	0x1b000	SSPICLI.DLL	C:\Windows\system32\SSPICLI.DLL	2022-11-14 20:25:20.000000 	Disabled
344	wininit.exe	0x75010000	0x8000	credssp.dll	C:\Windows\system32\credssp.dll	2022-11-14 20:25:20.000000 	Disabled
344	wininit.exe	0x77870000	0xa1000	ADVAPI32.dll	C:\Windows\system32\ADVAPI32.dll	2022-11-14 20:25:29.000000 	Disabled
344	wininit.exe	0x74f00000	0xd000	WTSAPI32.dll	C:\Windows\system32\WTSAPI32.dll	2022-11-14 20:26:06.000000 	Disabled
344	wininit.exe	0x758e0000	0x29000	WINSTA.dll	C:\Windows\system32\WINSTA.dll	2022-11-14 20:26:06.000000 	Disabled
444	services.exe	0x530000	0x41000	services.exe	C:\Windows\system32\services.exe	N/A	Disabled
444	services.exe	0x77920000	0x142000	ntdll.dll	C:\Windows\SYSTEM32\ntdll.dll	N/A	Disabled
444	services.exe	0x75d00000	0xd5000	kernel32.dll	C:\Windows\system32\kernel32.dll	2022-11-15 05:25:18.000000 	Disabled
444	services.exe	0x75c60000	0x4b000	KERNELBASE.dll	C:\Windows\system32\KERNELBASE.dll	2022-11-15 05:25:18.000000 	Disabled
444	services.exe	0x76140000	0xac000	msvcrt.dll	C:\Windows\system32\msvcrt.dll	2022-11-15 05:25:18.000000 	Disabled
444	services.exe	0x77ac0000	0xa2000	RPCRT4.dll	C:\Windows\system32\RPCRT4.dll	2022-11-15 05:25:18.000000 	Disabled
444	services.exe	0x757e0000	0x1b000	SspiCli.dll	C:\Windows\system32\SspiCli.dll	2022-11-15 05:25:18.000000 	Disabled
444	services.exe	0x75990000	0xb000	profapi.dll	C:\Windows\system32\profapi.dll	2022-11-15 05:25:18.000000 	Disabled
444	services.exe	0x76a10000	0x19000	sechost.dll	C:\Windows\SYSTEM32\sechost.dll	2022-11-15 05:25:18.000000 	Disabled
444	services.exe	0x75820000	0xc000	CRYPTBASE.dll	C:\Windows\system32\CRYPTBASE.dll	2022-11-15 05:25:18.000000 	Disabled
444	services.exe	0x757d0000	0xf000	scext.dll	C:\Windows\system32\scext.dll	2022-11-15 05:25:18.000000 	Disabled
444	services.exe	0x76650000	0xc9000	USER32.dll	C:\Windows\system32\USER32.dll	2022-11-15 05:25:18.000000 	Disabled
444	services.exe	0x761f0000	0x4e000	GDI32.dll	C:\Windows\system32\GDI32.dll	2022-11-15 05:25:18.000000 	Disabled
444	services.exe	0x77ab0000	0xa000	LPK.dll	C:\Windows\system32\LPK.dll	2022-11-15 05:25:18.000000 	Disabled
444	services.exe	0x76720000	0x9d000	USP10.dll	C:\Windows\system32\USP10.dll	2022-11-15 05:25:18.000000 	Disabled
444	services.exe	0x757c0000	0x8000	Secur32.dll	C:\Windows\system32\Secur32.dll	2022-11-15 05:25:18.000000 	Disabled
444	services.exe	0x75770000	0x4e000	SCESRV.dll	C:\Windows\system32\SCESRV.dll	2022-11-15 05:25:18.000000 	Disabled
444	services.exe	0x75750000	0x19000	srvcli.dll	C:\Windows\system32\srvcli.dll	2022-11-15 05:25:18.000000 	Disabled
444	services.exe	0x76a30000	0x1f000	IMM32.DLL	C:\Windows\system32\IMM32.DLL	2022-11-15 05:25:18.000000 	Disabled
444	services.exe	0x75fe0000	0xce000	MSCTF.dll	C:\Windows\system32\MSCTF.dll	2022-11-15 05:25:18.000000 	Disabled
444	services.exe	0x75910000	0xe000	RpcRtRemote.dll	C:\Windows\system32\RpcRtRemote.dll	2022-11-15 05:25:18.000000 	Disabled
444	services.exe	0x75010000	0x8000	credssp.dll	C:\Windows\system32\credssp.dll	2022-11-15 05:25:18.000000 	Disabled
444	services.exe	0x754f0000	0x1b000	AUTHZ.dll	C:\Windows\system32\AUTHZ.dll	2022-11-15 05:25:18.000000 	Disabled
444	services.exe	0x74fe0000	0x2d000	UBPM.dll	C:\Windows\system32\UBPM.dll	2022-11-15 05:25:18.000000 	Disabled
444	services.exe	0x77870000	0xa1000	ADVAPI32.dll	C:\Windows\system32\ADVAPI32.dll	2022-11-15 05:25:18.000000 	Disabled
444	services.exe	0x75890000	0x4c000	apphelp.dll	C:\Windows\system32\apphelp.dll	2022-11-15 05:25:18.000000 	Disabled
444	services.exe	0x74f00000	0xd000	WTSAPI32.dll	C:\Windows\system32\WTSAPI32.dll	2022-11-14 20:25:21.000000 	Disabled
444	services.exe	0x758e0000	0x29000	WINSTA.dll	C:\Windows\system32\WINSTA.dll	2022-11-14 20:25:21.000000 	Disabled
444	services.exe	0x75fa0000	0x35000	WS2_32.dll	C:\Windows\system32\WS2_32.dll	2022-11-14 20:25:22.000000 	Disabled
444	services.exe	0x767c0000	0x6000	NSI.dll	C:\Windows\system32\NSI.dll	2022-11-14 20:25:22.000000 	Disabled
444	services.exe	0x75300000	0x3c000	mswsock.dll	C:\Windows\system32\mswsock.dll	2022-11-14 20:25:22.000000 	Disabled
444	services.exe	0x74e60000	0x5000	wshtcpip.dll	C:\Windows\System32\wshtcpip.dll	2022-11-14 20:25:22.000000 	Disabled
444	services.exe	0x752f0000	0x6000	wship6.dll	C:\Windows\System32\wship6.dll	2022-11-14 20:25:22.000000 	Disabled
452	lsass.exe	0x720000	0x9000	lsass.exe	C:\Windows\system32\lsass.exe	N/A	Disabled
452	lsass.exe	0x77920000	0x142000	ntdll.dll	C:\Windows\SYSTEM32\ntdll.dll	N/A	Disabled
452	lsass.exe	0x75d00000	0xd5000	kernel32.dll	C:\Windows\system32\kernel32.dll	2022-11-15 05:25:18.000000 	Disabled
452	lsass.exe	0x75c60000	0x4b000	KERNELBASE.dll	C:\Windows\system32\KERNELBASE.dll	2022-11-15 05:25:18.000000 	Disabled
452	lsass.exe	0x76140000	0xac000	msvcrt.dll	C:\Windows\system32\msvcrt.dll	2022-11-15 05:25:18.000000 	Disabled
452	lsass.exe	0x77ac0000	0xa2000	RPCRT4.dll	C:\Windows\system32\RPCRT4.dll	2022-11-15 05:25:18.000000 	Disabled
452	lsass.exe	0x75740000	0x7000	SspiSrv.dll	C:\Windows\system32\SspiSrv.dll	2022-11-15 05:25:18.000000 	Disabled
452	lsass.exe	0x75630000	0x109000	lsasrv.dll	C:\Windows\system32\lsasrv.dll	2022-11-15 05:25:18.000000 	Disabled
452	lsass.exe	0x76a10000	0x19000	sechost.dll	C:\Windows\SYSTEM32\sechost.dll	2022-11-15 05:25:18.000000 	Disabled
452	lsass.exe	0x757e0000	0x1b000	SspiCli.dll	C:\Windows\system32\SspiCli.dll	2022-11-15 05:25:18.000000 	Disabled
452	lsass.exe	0x77870000	0xa1000	ADVAPI32.dll	C:\Windows\system32\ADVAPI32.dll	2022-11-15 05:25:18.000000 	Disabled
452	lsass.exe	0x76650000	0xc9000	USER32.dll	C:\Windows\system32\USER32.dll	2022-11-15 05:25:18.000000 	Disabled
452	lsass.exe	0x761f0000	0x4e000	GDI32.dll	C:\Windows\system32\GDI32.dll	2022-11-15 05:25:18.000000 	Disabled
452	lsass.exe	0x77ab0000	0xa000	LPK.dll	C:\Windows\system32\LPK.dll	2022-11-15 05:25:18.000000 	Disabled
452	lsass.exe	0x76720000	0x9d000	USP10.dll	C:\Windows\system32\USP10.dll	2022-11-15 05:25:18.000000 	Disabled
452	lsass.exe	0x75590000	0x91000	SAMSRV.dll	C:\Windows\system32\SAMSRV.dll	2022-11-15 05:25:18.000000 	Disabled
452	lsass.exe	0x75570000	0x11000	cryptdll.dll	C:\Windows\system32\cryptdll.dll	2022-11-15 05:25:18.000000 	Disabled
452	lsass.exe	0x75980000	0xc000	MSASN1.dll	C:\Windows\system32\MSASN1.dll	2022-11-15 05:25:18.000000 	Disabled
452	lsass.exe	0x75520000	0x42000	wevtapi.dll	C:\Windows\system32\wevtapi.dll	2022-11-15 05:25:18.000000 	Disabled
452	lsass.exe	0x76a30000	0x1f000	IMM32.DLL	C:\Windows\system32\IMM32.DLL	2022-11-15 05:25:18.000000 	Disabled
452	lsass.exe	0x75fe0000	0xce000	MSCTF.dll	C:\Windows\system32\MSCTF.dll	2022-11-15 05:25:18.000000 	Disabled
452	lsass.exe	0x75510000	0x6000	cngaudit.dll	C:\Windows\system32\cngaudit.dll	2022-11-15 05:25:18.000000 	Disabled
452	lsass.exe	0x754f0000	0x1b000	AUTHZ.dll	C:\Windows\system32\AUTHZ.dll	2022-11-15 05:25:18.000000 	Disabled
452	lsass.exe	0x754b0000	0x39000	ncrypt.dll	C:\Windows\system32\ncrypt.dll	2022-11-15 05:25:18.000000 	Disabled
452	lsass.exe	0x75490000	0x17000	bcrypt.dll	C:\Windows\system32\bcrypt.dll	2022-11-15 05:25:18.000000 	Disabled
452	lsass.exe	0x75480000	0x2000	msprivs.DLL	C:\Windows\system32\msprivs.DLL	2022-11-15 05:25:18.000000 	Disabled
452	lsass.exe	0x75450000	0x2b000	netjoin.dll	C:\Windows\system32\netjoin.dll	2022-11-15 05:25:18.000000 	Disabled
452	lsass.exe	0x75410000	0x3d000	bcryptprimitives.dll	C:\Windows\system32\bcryptprimitives.dll	2022-11-15 05:25:18.000000 	Disabled
452	lsass.exe	0x753f0000	0x1b000	negoexts.DLL	C:\Windows\system32\negoexts.DLL	2022-11-15 05:25:18.000000 	Disabled
452	lsass.exe	0x757c0000	0x8000	Secur32.dll	C:\Windows\system32\Secur32.dll	2022-11-15 05:25:18.000000 	Disabled
452	lsass.exe	0x75820000	0xc000	cryptbase.dll	C:\Windows\system32\cryptbase.dll	2022-11-15 05:25:18.000000 	Disabled
452	lsass.exe	0x75360000	0x8c000	kerberos.DLL	C:\Windows\system32\kerberos.DLL	2022-11-15 05:25:18.000000 	Disabled
452	lsass.exe	0x75340000	0x17000	CRYPTSP.dll	C:\Windows\system32\CRYPTSP.dll	2022-11-15 05:25:18.000000 	Disabled
452	lsass.exe	0x75fa0000	0x35000	WS2_32.dll	C:\Windows\system32\WS2_32.dll	2022-11-15 05:25:18.000000 	Disabled
452	lsass.exe	0x767c0000	0x6000	NSI.dll	C:\Windows\system32\NSI.dll	2022-11-15 05:25:18.000000 	Disabled
452	lsass.exe	0x75300000	0x3c000	mswsock.dll	C:\Windows\system32\mswsock.dll	2022-11-15 05:25:18.000000 	Disabled
452	lsass.exe	0x752f0000	0x6000	wship6.dll	C:\Windows\System32\wship6.dll	2022-11-15 05:25:18.000000 	Disabled
452	lsass.exe	0x752a0000	0x43000	msv1_0.DLL	C:\Windows\system32\msv1_0.DLL	2022-11-15 05:25:18.000000 	Disabled
452	lsass.exe	0x75210000	0x8f000	netlogon.DLL	C:\Windows\system32\netlogon.DLL	2022-11-15 05:25:18.000000 	Disabled
452	lsass.exe	0x751c0000	0x44000	DNSAPI.dll	C:\Windows\system32\DNSAPI.dll	2022-11-15 05:25:18.000000 	Disabled
452	lsass.exe	0x75190000	0x22000	logoncli.dll	C:\Windows\system32\logoncli.dll	2022-11-15 05:25:18.000000 	Disabled
452	lsass.exe	0x759b0000	0x19000	USERENV.dll	C:\Windows\system32\USERENV.dll	2022-11-15 05:25:18.000000 	Disabled
452	lsass.exe	0x75990000	0xb000	profapi.dll	C:\Windows\system32\profapi.dll	2022-11-15 05:25:18.000000 	Disabled
452	lsass.exe	0x75140000	0x41000	schannel.DLL	C:\Windows\system32\schannel.DLL	2022-11-15 05:25:18.000000 	Disabled
452	lsass.exe	0x759d0000	0x122000	CRYPT32.dll	C:\Windows\system32\CRYPT32.dll	2022-11-15 05:25:18.000000 	Disabled
452	lsass.exe	0x75110000	0x2c000	wdigest.DLL	C:\Windows\system32\wdigest.DLL	2022-11-15 05:25:18.000000 	Disabled
452	lsass.exe	0x750d0000	0x3b000	rsaenh.dll	C:\Windows\system32\rsaenh.dll	2022-11-15 05:25:18.000000 	Disabled
452	lsass.exe	0x75090000	0x13000	tspkg.DLL	C:\Windows\system32\tspkg.DLL	2022-11-15 05:25:18.000000 	Disabled
452	lsass.exe	0x75050000	0x34000	pku2u.DLL	C:\Windows\system32\pku2u.DLL	2022-11-15 05:25:18.000000 	Disabled
452	lsass.exe	0x75910000	0xe000	RpcRtRemote.dll	C:\Windows\system32\RpcRtRemote.dll	2022-11-15 05:25:18.000000 	Disabled
452	lsass.exe	0x750c0000	0xd000	efslsaext.dll	C:\Windows\system32\efslsaext.dll	2022-11-15 05:25:18.000000 	Disabled
452	lsass.exe	0x75020000	0x2e000	scecli.DLL	C:\Windows\system32\scecli.DLL	2022-11-15 05:25:18.000000 	Disabled
452	lsass.exe	0x75010000	0x8000	credssp.dll	C:\Windows\system32\credssp.dll	2022-11-15 05:25:18.000000 	Disabled
452	lsass.exe	0x758e0000	0x29000	WINSTA.dll	C:\Windows\system32\WINSTA.dll	2022-11-15 05:25:18.000000 	Disabled
452	lsass.exe	0x74ed0000	0x1c000	IPHLPAPI.DLL	C:\Windows\system32\IPHLPAPI.DLL	2022-11-14 20:25:20.000000 	Disabled
452	lsass.exe	0x74ec0000	0x7000	WINNSI.DLL	C:\Windows\system32\WINNSI.DLL	2022-11-14 20:25:20.000000 	Disabled
452	lsass.exe	0x740b0000	0x9000	netutils.dll	C:\Windows\system32\netutils.dll	2022-11-14 20:25:20.000000 	Disabled
452	lsass.exe	0x740a0000	0xf000	wkscli.dll	C:\Windows\system32\wkscli.dll	2022-11-14 20:25:20.000000 	Disabled
452	lsass.exe	0x717d0000	0x12000	MPR.dll	C:\Windows\system32\MPR.dll	2022-11-14 20:25:21.000000 	Disabled
452	lsass.exe	0x70440000	0x27000	dssenh.dll	C:\Windows\system32\dssenh.dll	2022-11-14 20:25:24.000000 	Disabled
452	lsass.exe	0x74f50000	0x16000	GPAPI.dll	C:\Windows\system32\GPAPI.dll	2022-11-14 20:25:24.000000 	Disabled
452	lsass.exe	0x74e60000	0x5000	wshtcpip.dll	C:\Windows\System32\wshtcpip.dll	2022-11-14 20:25:29.000000 	Disabled
452	lsass.exe	0x747b0000	0x12000	samlib.dll	C:\Windows\system32\samlib.dll	2022-11-14 20:27:50.000000 	Disabled
452	lsass.exe	0x71480000	0x18000	NTDSAPI.dll	C:\Windows\system32\NTDSAPI.dll	2022-11-14 20:27:50.000000 	Disabled
460	lsm.exe	0xd50000	0x44000	lsm.exe	C:\Windows\system32\lsm.exe	N/A	Disabled
460	lsm.exe	0x77920000	0x142000	ntdll.dll	C:\Windows\SYSTEM32\ntdll.dll	N/A	Disabled
460	lsm.exe	0x75d00000	0xd5000	kernel32.dll	C:\Windows\system32\kernel32.dll	2022-11-15 05:25:18.000000 	Disabled
460	lsm.exe	0x75c60000	0x4b000	KERNELBASE.dll	C:\Windows\system32\KERNELBASE.dll	2022-11-15 05:25:18.000000 	Disabled
460	lsm.exe	0x76140000	0xac000	msvcrt.dll	C:\Windows\system32\msvcrt.dll	2022-11-15 05:25:18.000000 	Disabled
460	lsm.exe	0x76a10000	0x19000	sechost.dll	C:\Windows\SYSTEM32\sechost.dll	2022-11-15 05:25:18.000000 	Disabled
460	lsm.exe	0x77ac0000	0xa2000	RPCRT4.dll	C:\Windows\system32\RPCRT4.dll	2022-11-15 05:25:18.000000 	Disabled
460	lsm.exe	0x75810000	0x7000	SYSNTFY.dll	C:\Windows\system32\SYSNTFY.dll	2022-11-15 05:25:18.000000 	Disabled
460	lsm.exe	0x75800000	0x6000	WMsgAPI.dll	C:\Windows\system32\WMsgAPI.dll	2022-11-15 05:25:18.000000 	Disabled
460	lsm.exe	0x75820000	0xc000	CRYPTBASE.dll	C:\Windows\system32\CRYPTBASE.dll	2022-11-15 05:25:18.000000 	Disabled
460	lsm.exe	0x74f10000	0xb000	pcwum.dll	C:\Windows\system32\pcwum.dll	2022-11-14 20:25:20.000000 	Disabled
460	lsm.exe	0x75910000	0xe000	RpcRtRemote.dll	C:\Windows\system32\RpcRtRemote.dll	2022-11-14 20:25:20.000000 	Disabled
460	lsm.exe	0x757c0000	0x8000	secur32.dll	C:\Windows\system32\secur32.dll	2022-11-14 20:25:20.000000 	Disabled
460	lsm.exe	0x757e0000	0x1b000	SSPICLI.DLL	C:\Windows\system32\SSPICLI.DLL	2022-11-14 20:25:20.000000 	Disabled
460	lsm.exe	0x75010000	0x8000	credssp.dll	C:\Windows\system32\credssp.dll	2022-11-14 20:25:20.000000 	Disabled
460	lsm.exe	0x77870000	0xa1000	ADVAPI32.dll	C:\Windows\system32\ADVAPI32.dll	2022-11-14 20:25:20.000000 	Disabled
564	svchost.exe	0xeb0000	0x8000	svchost.exe	C:\Windows\system32\svchost.exe	N/A	Disabled
564	svchost.exe	0x77920000	0x142000	ntdll.dll	C:\Windows\SYSTEM32\ntdll.dll	N/A	Disabled
564	svchost.exe	0x75d00000	0xd5000	kernel32.dll	C:\Windows\system32\kernel32.dll	2022-11-15 05:25:18.000000 	Disabled
564	svchost.exe	0x75c60000	0x4b000	KERNELBASE.dll	C:\Windows\system32\KERNELBASE.dll	2022-11-15 05:25:18.000000 	Disabled
564	svchost.exe	0x76140000	0xac000	msvcrt.dll	C:\Windows\system32\msvcrt.dll	2022-11-15 05:25:18.000000 	Disabled
564	svchost.exe	0x76a10000	0x19000	sechost.dll	C:\Windows\SYSTEM32\sechost.dll	2022-11-15 05:25:18.000000 	Disabled
564	svchost.exe	0x77ac0000	0xa2000	RPCRT4.dll	C:\Windows\system32\RPCRT4.dll	2022-11-15 05:25:18.000000 	Disabled
564	svchost.exe	0x74f90000	0x49000	umpnpmgr.dll	c:\windows\system32\umpnpmgr.dll	2022-11-15 05:25:18.000000 	Disabled
564	svchost.exe	0x74f70000	0x15000	SPINF.dll	c:\windows\system32\SPINF.dll	2022-11-15 05:25:18.000000 	Disabled
564	svchost.exe	0x76650000	0xc9000	USER32.dll	C:\Windows\system32\USER32.dll	2022-11-15 05:25:18.000000 	Disabled
564	svchost.exe	0x761f0000	0x4e000	GDI32.dll	C:\Windows\system32\GDI32.dll	2022-11-15 05:25:18.000000 	Disabled
564	svchost.exe	0x77ab0000	0xa000	LPK.dll	C:\Windows\system32\LPK.dll	2022-11-15 05:25:18.000000 	Disabled
564	svchost.exe	0x76720000	0x9d000	USP10.dll	C:\Windows\system32\USP10.dll	2022-11-15 05:25:18.000000 	Disabled
564	svchost.exe	0x750b0000	0xe000	DEVRTL.dll	c:\windows\system32\DEVRTL.dll	2022-11-15 05:25:18.000000 	Disabled
564	svchost.exe	0x76a30000	0x1f000	IMM32.DLL	C:\Windows\system32\IMM32.DLL	2022-11-15 05:25:18.000000 	Disabled
564	svchost.exe	0x75fe0000	0xce000	MSCTF.dll	C:\Windows\system32\MSCTF.dll	2022-11-15 05:25:18.000000 	Disabled
564	svchost.exe	0x75910000	0xe000	RpcRtRemote.dll	C:\Windows\system32\RpcRtRemote.dll	2022-11-15 05:25:18.000000 	Disabled
564	svchost.exe	0x759b0000	0x19000	USERENV.dll	C:\Windows\system32\USERENV.dll	2022-11-15 05:25:18.000000 	Disabled
564	svchost.exe	0x75990000	0xb000	profapi.dll	C:\Windows\system32\profapi.dll	2022-11-15 05:25:18.000000 	Disabled
564	svchost.exe	0x74f50000	0x16000	GPAPI.dll	C:\Windows\system32\GPAPI.dll	2022-11-15 05:25:18.000000 	Disabled
564	svchost.exe	0x75820000	0xc000	CRYPTBASE.dll	C:\Windows\system32\CRYPTBASE.dll	2022-11-15 05:25:18.000000 	Disabled
564	svchost.exe	0x74f20000	0x21000	umpo.dll	c:\windows\system32\umpo.dll	2022-11-15 05:25:18.000000 	Disabled
564	svchost.exe	0x758e0000	0x29000	WINSTA.dll	c:\windows\system32\WINSTA.dll	2022-11-15 05:25:18.000000 	Disabled
564	svchost.exe	0x767d0000	0x19d000	SETUPAPI.dll	C:\Windows\system32\SETUPAPI.dll	2022-11-15 05:25:18.000000 	Disabled
564	svchost.exe	0x75b40000	0x27000	CFGMGR32.dll	C:\Windows\system32\CFGMGR32.dll	2022-11-15 05:25:18.000000 	Disabled
564	svchost.exe	0x77870000	0xa1000	ADVAPI32.dll	C:\Windows\system32\ADVAPI32.dll	2022-11-15 05:25:18.000000 	Disabled
564	svchost.exe	0x76970000	0x92000	OLEAUT32.dll	C:\Windows\system32\OLEAUT32.dll	2022-11-15 05:25:18.000000 	Disabled
564	svchost.exe	0x776a0000	0x15f000	ole32.dll	C:\Windows\system32\ole32.dll	2022-11-15 05:25:18.000000 	Disabled
564	svchost.exe	0x75c40000	0x12000	DEVOBJ.dll	C:\Windows\system32\DEVOBJ.dll	2022-11-15 05:25:18.000000 	Disabled
564	svchost.exe	0x74f10000	0xb000	pcwum.DLL	C:\Windows\system32\pcwum.DLL	2022-11-15 05:25:18.000000 	Disabled
564	svchost.exe	0x74e00000	0x60000	rpcss.dll	c:\windows\system32\rpcss.dll	2022-11-14 20:25:20.000000 	Disabled
564	svchost.exe	0x757e0000	0x1b000	SspiCli.dll	c:\windows\system32\SspiCli.dll	2022-11-14 20:25:20.000000 	Disabled
564	svchost.exe	0x75010000	0x8000	credssp.dll	C:\Windows\system32\credssp.dll	2022-11-14 20:25:20.000000 	Disabled
564	svchost.exe	0x760b0000	0x83000	CLBCatQ.DLL	C:\Windows\system32\CLBCatQ.DLL	2022-11-14 20:25:20.000000 	Disabled
564	svchost.exe	0x75890000	0x4c000	apphelp.dll	C:\Windows\system32\apphelp.dll	2022-11-14 20:25:21.000000 	Disabled
564	svchost.exe	0x74e90000	0x21000	ntmarta.dll	C:\Windows\system32\ntmarta.dll	2022-11-14 20:25:21.000000 	Disabled
564	svchost.exe	0x75cb0000	0x45000	WLDAP32.dll	C:\Windows\system32\WLDAP32.dll	2022-11-14 20:25:21.000000 	Disabled
564	svchost.exe	0x71540000	0x23000	wmidcprv.dll	C:\Windows\system32\wbem\wmidcprv.dll	2022-11-14 20:25:21.000000 	Disabled
